time,Direction [deg],Gusts [m/s],Speed [m/s]
2019-02-13 14:54:00+00:00,92.0,3.8,3.5
2019-02-13 15:00:00+00:00,84.0,4.1,3.5
2019-02-13 15:06:00+00:00,86.0,3.7,3.1
2019-02-13 15:12:00+00:00,81.0,3.6,3.2
2019-02-13 15:18:00+00:00,90.0,3.6,2.9
2019-02-13 15:24:00+00:00,84.0,3.2,3.0
2019-02-13 15:30:00+00:00,84.0,3.4,2.8
2019-02-13 15:36:00+00:00,74.0,3.0,2.5
2019-02-13 15:42:00+00:00,62.0,3.1,2.8
2019-02-13 15:48:00+00:00,72.0,3.3,2.9
2019-02-13 15:54:00+00:00,87.0,3.2,2.5
2019-02-13 16:00:00+00:00,90.0,3.0,2.7
2019-02-13 16:06:00+00:00,69.0,2.9,2.3
2019-02-13 16:12:00+00:00,76.0,3.1,2.9
2019-02-13 16:18:00+00:00,89.0,3.4,2.6
2019-02-13 16:24:00+00:00,91.0,2.8,2.2
2019-02-13 16:30:00+00:00,77.0,2.8,2.3
2019-02-13 16:36:00+00:00,57.0,2.6,2.3
2019-02-13 16:42:00+00:00,40.0,2.8,2.1
2019-02-13 16:48:00+00:00,57.0,3.1,2.6
2019-02-13 16:54:00+00:00,40.0,3.2,2.3
2019-02-13 17:00:00+00:00,42.0,2.8,2.5
2019-02-13 17:06:00+00:00,65.0,3.2,2.8
2019-02-13 17:12:00+00:00,63.0,3.4,3.1
2019-02-13 17:18:00+00:00,74.0,3.3,2.7
2019-02-13 17:24:00+00:00,88.0,2.9,2.4
2019-02-13 17:30:00+00:00,88.0,2.3,1.3
2019-02-13 17:36:00+00:00,73.0,1.4,0.4
2019-02-13 17:42:00+00:00,55.0,0.4,0.0
2019-02-13 17:48:00+00:00,234.0,1.7,1.5
2019-02-13 17:54:00+00:00,248.0,2.0,1.1
2019-02-13 18:00:00+00:00,225.0,0.8,0.6
2019-02-13 18:06:00+00:00,133.0,0.9,0.7
2019-02-13 18:12:00+00:00,113.0,1.1,0.8
2019-02-13 18:18:00+00:00,113.0,1.0,0.8
2019-02-13 18:24:00+00:00,100.0,1.4,1.0
2019-02-13 18:30:00+00:00,62.0,1.7,1.5
2019-02-13 18:36:00+00:00,41.0,1.8,1.6
2019-02-13 18:42:00+00:00,31.0,2.1,2.0
2019-02-13 18:48:00+00:00,20.0,2.0,1.8
2019-02-13 18:54:00+00:00,16.0,2.6,2.4
2019-02-13 19:00:00+00:00,16.0,2.6,2.5
2019-02-13 19:06:00+00:00,11.0,2.5,2.2
2019-02-13 19:12:00+00:00,10.0,2.1,1.8
2019-02-13 19:18:00+00:00,9.0,1.9,1.2
2019-02-13 19:24:00+00:00,98.0,1.7,1.5
2019-02-13 19:30:00+00:00,100.0,1.9,1.6
2019-02-13 19:36:00+00:00,96.0,2.1,1.7
2019-02-13 19:42:00+00:00,90.0,2.2,1.8
2019-02-13 19:48:00+00:00,85.0,2.3,1.8
2019-02-13 19:54:00+00:00,87.0,2.1,1.9
2019-02-13 20:00:00+00:00,92.0,2.3,2.0
2019-02-13 20:06:00+00:00,97.0,2.8,2.5
2019-02-13 20:12:00+00:00,95.0,2.9,2.4
2019-02-13 20:18:00+00:00,94.0,2.8,2.4
2019-02-13 20:24:00+00:00,87.0,3.0,2.2
2019-02-13 20:30:00+00:00,81.0,2.5,2.1
2019-02-13 20:36:00+00:00,71.0,2.4,1.9
2019-02-13 20:42:00+00:00,74.0,2.1,1.5
2019-02-13 20:48:00+00:00,64.0,2.8,2.3
2019-02-13 20:54:00+00:00,43.0,3.2,2.8
