,time,twl
0,2018-11-19 00:00:00,5.5
1,2018-11-19 00:06:00,5.362
2,2018-11-19 00:12:00,5.208
3,2018-11-19 00:18:00,5.07
4,2018-11-19 00:24:00,4.923
5,2018-11-19 00:30:00,4.772
6,2018-11-19 00:36:00,4.621
7,2018-11-19 00:42:00,4.486
8,2018-11-19 00:48:00,4.352
9,2018-11-19 00:54:00,4.217
10,2018-11-19 01:00:00,4.103
11,2018-11-19 01:06:00,3.978
12,2018-11-19 01:12:00,3.85
13,2018-11-19 01:18:00,3.725
14,2018-11-19 01:24:00,3.61
15,2018-11-19 01:30:00,3.489
16,2018-11-19 01:36:00,3.374
17,2018-11-19 01:42:00,3.273
18,2018-11-19 01:48:00,3.174
19,2018-11-19 01:54:00,3.086
20,2018-11-19 02:00:00,3.004
21,2018-11-19 02:06:00,2.954
22,2018-11-19 02:12:00,2.885
23,2018-11-19 02:18:00,2.83
24,2018-11-19 02:24:00,2.771
25,2018-11-19 02:30:00,2.708
26,2018-11-19 02:36:00,2.669
27,2018-11-19 02:42:00,2.623
28,2018-11-19 02:48:00,2.577
29,2018-11-19 02:54:00,2.534
30,2018-11-19 03:00:00,2.505
31,2018-11-19 03:06:00,2.482
32,2018-11-19 03:12:00,2.462
33,2018-11-19 03:18:00,2.452
34,2018-11-19 03:24:00,2.452
35,2018-11-19 03:30:00,2.452
36,2018-11-19 03:36:00,2.472
37,2018-11-19 03:42:00,2.485
38,2018-11-19 03:48:00,2.511
39,2018-11-19 03:54:00,2.541
40,2018-11-19 04:00:00,2.584
41,2018-11-19 04:06:00,2.639
42,2018-11-19 04:12:00,2.702
43,2018-11-19 04:18:00,2.761
44,2018-11-19 04:24:00,2.797
45,2018-11-19 04:30:00,2.853
46,2018-11-19 04:36:00,2.902
47,2018-11-19 04:42:00,2.951
48,2018-11-19 04:48:00,3.0
49,2018-11-19 04:54:00,3.046
50,2018-11-19 05:00:00,3.082
51,2018-11-19 05:06:00,3.138
52,2018-11-19 05:12:00,3.187
53,2018-11-19 05:18:00,3.25
54,2018-11-19 05:24:00,3.305
55,2018-11-19 05:30:00,3.378
56,2018-11-19 05:36:00,3.45
57,2018-11-19 05:42:00,3.489
58,2018-11-19 05:48:00,3.568
59,2018-11-19 05:54:00,3.63
60,2018-11-19 06:00:00,3.696
61,2018-11-19 06:06:00,3.775
62,2018-11-19 06:12:00,3.857
63,2018-11-19 06:18:00,3.922
64,2018-11-19 06:24:00,4.001
65,2018-11-19 06:30:00,4.083
66,2018-11-19 06:36:00,4.155
67,2018-11-19 06:42:00,4.217
68,2018-11-19 06:48:00,4.299
69,2018-11-19 06:54:00,4.375
70,2018-11-19 07:00:00,4.45
71,2018-11-19 07:06:00,4.526
72,2018-11-19 07:12:00,4.608
73,2018-11-19 07:18:00,4.713
74,2018-11-19 07:24:00,4.808
75,2018-11-19 07:30:00,4.897
76,2018-11-19 07:36:00,4.982
77,2018-11-19 07:42:00,5.057
78,2018-11-19 07:48:00,5.126
79,2018-11-19 07:54:00,5.195
80,2018-11-19 08:00:00,5.274
81,2018-11-19 08:06:00,5.349
82,2018-11-19 08:12:00,5.418
83,2018-11-19 08:18:00,5.458
84,2018-11-19 08:24:00,5.526
85,2018-11-19 08:30:00,5.589
86,2018-11-19 08:36:00,5.612
87,2018-11-19 08:42:00,5.638
